tr_idx,tr_start_sec,tr_end_sec,n_words,coverage_sec
0,0.0,1.5,0,0.0
1,1.5,3.0,0,0.0
2,3.0,4.5,0,0.0
3,4.5,6.0,0,0.0
4,6.0,7.5,0,0.0
5,7.5,9.0,0,0.0
6,9.0,10.5,0,0.0
7,10.5,12.0,0,0.0
8,12.0,13.5,0,0.0
9,13.5,15.0,0,0.0
10,15.0,16.5,5,1.38
11,16.5,18.0,3,1.29
12,18.0,19.5,5,1.03
13,19.5,21.0,5,1.23
14,21.0,22.5,5,1.3199999
15,22.5,24.0,2,0.34
16,24.0,25.5,5,1.49
17,25.5,27.0,2,0.91
18,27.0,28.5,9,1.430001
19,28.5,30.0,6,1.269999
20,30.0,31.5,3,1.27
21,31.5,33.0,4,0.86
22,33.0,34.5,3,1.190001
23,34.5,36.0,3,1.49
24,36.0,37.5,5,1.03
25,37.5,39.0,3,1.039999
26,39.0,40.5,4,1.39
27,40.5,42.0,2,0.76
28,42.0,43.5,9,1.2900001
29,43.5,45.0,8,1.47
30,45.0,46.5,5,1.06
31,46.5,48.0,6,1.5000011
32,48.0,49.5,5,1.489999
33,49.5,51.0,5,1.26
34,51.0,52.5,8,1.330001
35,52.5,54.0,1,0.479999
36,54.0,55.5,3,0.78
37,55.5,57.0,5,1.05
38,57.0,58.5,3,0.79999995
39,58.5,60.0,4,1.11
40,60.0,61.5,5,1.47
41,61.5,63.0,9,1.26
42,63.0,64.5,3,1.27
43,64.5,66.0,6,1.4200001
44,66.0,67.5,4,1.250001
45,67.5,69.0,4,1.129999
46,69.0,70.5,4,1.450001
47,70.5,72.0,5,1.459999
48,72.0,73.5,1,0.14
49,73.5,75.0,4,1.14
50,75.0,76.5,0,0.0
51,76.5,78.0,3,0.52
52,78.0,79.5,3,0.72
53,79.5,81.0,3,0.59000003
54,81.0,82.5,2,0.2
55,82.5,84.0,5,0.92
56,84.0,85.5,0,0.0
57,85.5,87.0,9,1.22
58,87.0,88.5,7,1.27
59,88.5,90.0,2,0.14
60,90.0,91.5,0,0.0
61,91.5,93.0,4,1.02
62,93.0,94.5,6,1.0899999
63,94.5,96.0,3,0.8299999
64,96.0,97.5,1,0.13
65,97.5,99.0,5,0.87
66,99.0,100.5,6,1.46
67,100.5,102.0,5,0.67999995
68,102.0,103.5,6,1.2700001
69,103.5,105.0,5,0.98
70,105.0,106.5,9,1.489999
71,106.5,108.0,2,0.43000102
72,108.0,109.5,7,1.2700009
73,109.5,111.0,10,1.509999
74,111.0,112.5,4,0.96
75,112.5,114.0,2,0.64
76,114.0,115.5,4,0.51
77,115.5,117.0,5,1.09
78,117.0,118.5,3,0.450001
79,118.5,120.0,9,1.4999989
80,120.0,121.5,6,1.01
81,121.5,123.0,4,0.620001
82,123.0,124.5,1,0.289999
83,124.5,126.0,0,0.0
84,126.0,127.5,5,1.23
85,127.5,129.0,2,0.59000003
86,129.0,130.5,3,1.26
87,130.5,132.0,3,1.0
88,132.0,133.5,2,0.47000003
89,133.5,135.0,0,0.0
90,135.0,136.5,3,1.000001
91,136.5,138.0,5,1.4099991
92,138.0,139.5,1,0.35
93,139.5,141.0,5,1.0400001
94,141.0,142.5,4,1.14
95,142.5,144.0,6,1.420001
96,144.0,145.5,6,1.1099991
97,145.5,147.0,3,0.49
98,147.0,148.5,5,0.85999995
99,148.5,150.0,5,0.99
100,150.0,151.5,7,1.14
101,151.5,153.0,6,1.200001
102,153.0,154.5,5,1.4
103,154.5,156.0,4,0.81000006
104,156.0,157.5,7,1.4899989
105,157.5,159.0,2,0.83000004
106,159.0,160.5,5,0.60999995
107,160.5,162.0,2,0.65
108,162.0,163.5,8,1.3199999
109,163.5,165.0,5,1.14
110,165.0,166.5,4,1.06
111,166.5,168.0,0,0.0
112,168.0,169.5,3,0.32
113,169.5,171.0,4,0.94
114,171.0,172.5,2,0.65
115,172.5,174.0,0,0.0
116,174.0,175.5,0,0.0
117,175.5,177.0,6,1.1600001
118,177.0,178.5,2,0.29
119,178.5,180.0,3,0.869999
120,180.0,181.5,1,0.340001
121,181.5,183.0,4,1.11
122,183.0,184.5,4,1.28
123,184.5,186.0,1,0.45
124,186.0,187.5,4,1.31
125,187.5,189.0,1,0.33
126,189.0,190.5,3,0.66
127,190.5,192.0,3,0.86
128,192.0,193.5,6,1.49
129,193.5,195.0,1,0.05
130,195.0,196.5,5,0.98
131,196.5,198.0,8,1.28
132,198.0,199.5,5,0.87
133,199.5,201.0,2,0.63
134,201.0,202.5,5,1.1700001
135,202.5,204.0,0,0.0
136,204.0,205.5,3,0.91
137,205.5,207.0,5,1.26
138,207.0,208.5,2,0.77
139,208.5,210.0,4,0.49999997
140,210.0,211.5,5,0.97
141,211.5,213.0,4,0.94000006
